Uv,Points:0,Points:1,Points:2
-6.1006E-012,2,2,1.2
1.092E-007,2,2,1.2141
6.7005E-007,2,2,1.2283
1.2495E-006,2,2,1.2424
1.3153E-006,2,2,1.2566
1.5291E-006,2,2,1.2707
1.7632E-006,2,2,1.2848
1.7875E-006,2,2,1.299
2.4907E-006,2,2,1.3131
0.000003197,2,2,1.3273
3.2139E-006,2,2,1.3414
0.000003464,2,2,1.3556
3.6265E-006,2,2,1.3697
3.8186E-006,2,2,1.3838
3.9996E-006,2,2,1.398
4.1843E-006,2,2,1.4121
4.3676E-006,2,2,1.4263
4.5515E-006,2,2,1.4404
0.000004735,2,2,1.4545
4.9187E-006,2,2,1.4687
5.1023E-006,2,2,1.4828
5.2855E-006,2,2,1.497
0.00000547,2,2,1.5111
5.6508E-006,2,2,1.5253
5.8427E-006,2,2,1.5394
0.000006005,2,2,1.5535
6.2548E-006,2,2,1.5677
6.2716E-006,2,2,1.5818
6.9776E-006,2,2,1.596
7.6808E-006,2,2,1.6101
7.7043E-006,2,2,1.6242
7.9383E-006,2,2,1.6384
8.1503E-006,2,2,1.6525
8.2175E-006,2,2,1.6667
8.7893E-006,2,2,1.6808
0.000009365,2,2,1.6949
9.4232E-006,2,2,1.7091
9.6563E-006,2,2,1.7232
9.8238E-006,2,2,1.7374
0.000010013,2,2,1.7515
0.000010195,2,2,1.7657
0.000010379,2,2,1.7798
0.000010562,2,2,1.7939
0.000010745,2,2,1.8081
0.000010929,2,2,1.8222
0.000011111,2,2,1.8364
0.000011296,2,2,1.8505
0.000011475,2,2,1.8646
0.000011673,2,2,1.8788
0.000011818,2,2,1.8929
0.000012119,2,2,1.9071
0.000012008,2,2,1.9212
0.000013113,2,2,1.9354
0.000013957,2,2,1.9495
0.000014457,2,2,1.9636
0.000015334,2,2,1.9778
0.0000153,2,2,1.9919
0.000015561,2,2,2.0061
0.000015749,2,2,2.0202
0.000015861,2,2,2.0343
0.000016301,2,2,2.0485
0.000016747,2,2,2.0626
0.000016846,2,2,2.0768
0.000017063,2,2,2.0909
0.000017236,2,2,2.1051
0.000017423,2,2,2.1192
0.000017605,2,2,2.1333
0.000017789,2,2,2.1475
0.000017972,2,2,2.1616
0.000018155,2,2,2.1758
0.000018339,2,2,2.1899
0.000018521,2,2,2.204
0.000018707,2,2,2.2182
0.000018883,2,2,2.2323
0.000019089,2,2,2.2465
0.000019213,2,2,2.2606
0.000019583,2,2,2.2747
0.000019299,2,2,2.2889
0.000020946,2,2,2.303
0.000022262,2,2,2.3172
0.00002275,2,2,2.3313
0.000023766,2,2,2.3455
0.000023849,2,2,2.3596
0.000023683,2,2,2.3737
0.000025282,2,2,2.3879
0.000026873,2,2,2.402
0.000026724,2,2,2.4162
0.000027222,2,2,2.4303
0.000027305,2,2,2.4444
0.000027528,2,2,2.4586
0.000027699,2,2,2.4727
0.000027887,2,2,2.4869
0.000028069,2,2,2.501
0.000028253,2,2,2.5152
0.000028436,2,2,2.5293
0.00002862,2,2,2.5434
0.000028803,2,2,2.5576
0.000028986,2,2,2.5717
0.00002917,2,2,2.5859
0.000029352,2,2,2.6
0.000029537,2,2,2.6141
0.000029716,2,2,2.6283
0.000029913,2,2,2.6424
0.000030062,2,2,2.6566
0.000030354,2,2,2.6707
0.000030263,2,2,2.6848
0.000031307,2,2,2.699
0.000032307,2,2,2.7131
0.00003232,2,2,2.7273
0.000032362,2,2,2.7414
0.000033294,2,2,2.7556
0.000034274,2,2,2.7697
0.000034203,2,2,2.7838
0.000034488,2,2,2.798
0.00003464,2,2,2.8121
0.000034836,2,2,2.8263
0.000035016,2,2,2.8404
0.000035201,2,2,2.8545
0.000035385,2,2,2.8687
0.000035569,2,2,2.8828
0.000035753,2,2,2.897
0.000035936,2,2,2.9111
0.000036121,2,2,2.9253
0.000036304,2,2,2.9394
0.000036489,2,2,2.9535
0.000036672,2,2,2.9677
0.000036861,2,2,2.9818
0.000037032,2,2,2.996
0.000037257,2,2,3.0101
0.00003734,2,2,3.0242
0.000037839,2,2,3.0384
0.000037692,2,2,3.0525
0.000039284,2,2,3.0667
0.000040883,2,2,3.0808
0.000040718,2,2,3.0949
0.000040803,2,2,3.1091
0.00004182,2,2,3.1232
0.000042308,2,2,3.1374
0.000043626,2,2,3.1515
0.000045274,2,2,3.1657
0.000044992,2,2,3.1798
0.000045362,2,2,3.1939
0.000045488,2,2,3.2081
0.000045696,2,2,3.2222
0.000045873,2,2,3.2364
0.000046061,2,2,3.2505
0.000046245,2,2,3.2646
0.000046429,2,2,3.2788
0.000046615,2,2,3.2929
0.000046799,2,2,3.3071
0.000046985,2,2,3.3212
0.000047169,2,2,3.3354
0.000047358,2,2,3.3495
0.000047532,2,2,3.3636
0.000047751,2,2,3.3778
0.000047852,2,2,3.3919
0.0000483,2,2,3.4061
0.000048742,2,2,3.4202
0.000048856,2,2,3.4343
0.000049046,2,2,3.4485
0.000049309,2,2,3.4626
0.000049278,2,2,3.4768
0.000050157,2,2,3.4909
0.000050659,2,2,3.5051
0.000051505,2,2,3.5192
0.000052613,2,2,3.5333
0.000052505,2,2,3.5475
0.000052808,2,2,3.5616
0.000052956,2,2,3.5758
0.000053157,2,2,3.5899
0.000053338,2,2,3.604
0.000053525,2,2,3.6182
0.000053711,2,2,3.6323
0.000053897,2,2,3.6465
0.000054083,2,2,3.6606
0.000054269,2,2,3.6747
0.000054456,2,2,3.6889
0.000054641,2,2,3.703
0.000054834,2,2,3.7172
0.000055004,2,2,3.7313
0.000055241,2,2,3.7455
0.000055302,2,2,3.7596
0.000055881,2,2,3.7737
0.000056456,2,2,3.7879
0.000056527,2,2,3.802
0.000056742,2,2,3.8162
0.00005698,2,2,3.8303
0.000057008,2,2,3.8444
0.000057715,2,2,3.8586
0.000058425,2,2,3.8727
0.000058446,2,2,3.8869
0.0000587,2,2,3.901
0.000058867,2,2,3.9152
0.000059063,2,2,3.9293
0.000059248,2,2,3.9434
0.000059437,2,2,3.9576
0.000059624,2,2,3.9717
0.000059812,2,2,3.9859
0.00006,2,2,4
